Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,12,0.9099999999999999,0.01,0.3538798269246717
100% Corpus,12,0.9099999999999999,0.31,0.3531843787714657
100% Corpus,12,0.9099999999999999,0.61,0.3672305762237298
100% Corpus,12,0.9099999999999999,0.9099999999999999,0.36930038802410015
100% Corpus,12,0.9099999999999999,symmetric,0.34724946922855765
100% Corpus,12,symmetric,0.01,0.3730980569931041
100% Corpus,12,symmetric,0.31,0.38097308336526803
100% Corpus,12,symmetric,0.61,0.3831183469678556
100% Corpus,12,symmetric,0.9099999999999999,0.37973912864001913
100% Corpus,12,symmetric,symmetric,0.3731401222091824
100% Corpus,12,asymmetric,0.01,0.3741050303460338
100% Corpus,12,asymmetric,0.31,0.37731358477766025
100% Corpus,12,asymmetric,0.61,0.36507045372191954
100% Corpus,12,asymmetric,0.9099999999999999,0.38587646663841385
100% Corpus,12,asymmetric,symmetric,0.37269768616017146
100% Corpus,14,0.01,0.01,0.37590796389559905
100% Corpus,14,0.01,0.31,0.38330303384100145
100% Corpus,14,0.01,0.61,0.3704361818022695
100% Corpus,14,0.01,0.9099999999999999,0.3839394616547
100% Corpus,14,0.01,symmetric,0.3759647422807882
100% Corpus,14,0.31,0.01,0.3157450769350771
100% Corpus,14,0.31,0.31,0.3224264190121398
100% Corpus,14,0.31,0.61,0.33413127047962476
100% Corpus,14,0.31,0.9099999999999999,0.3420594792620418
100% Corpus,14,0.31,symmetric,0.33431946866734963
100% Corpus,14,0.61,0.01,0.31368022093084935
100% Corpus,14,0.61,0.31,0.3427652396530326
100% Corpus,14,0.61,0.61,0.3363775557053649
100% Corpus,14,0.61,0.9099999999999999,0.3346505636043301
100% Corpus,14,0.61,symmetric,0.34798852311627776
100% Corpus,14,0.9099999999999999,0.01,0.347774094488134
100% Corpus,14,0.9099999999999999,0.31,0.3334379073970604
100% Corpus,14,0.9099999999999999,0.61,0.33506641299240064
100% Corpus,14,0.9099999999999999,0.9099999999999999,0.3338687959671499
100% Corpus,14,0.9099999999999999,symmetric,0.32312922404354355
100% Corpus,14,symmetric,0.01,0.36759295517036017
100% Corpus,14,symmetric,0.31,0.3728204412364085
100% Corpus,14,symmetric,0.61,0.379781084203036
100% Corpus,14,symmetric,0.9099999999999999,0.36877316932053866
100% Corpus,14,symmetric,symmetric,0.3694551657378245
100% Corpus,14,asymmetric,0.01,0.34956068825794484
100% Corpus,14,asymmetric,0.31,0.35269342857751845
100% Corpus,14,asymmetric,0.61,0.3749437053519912
100% Corpus,14,asymmetric,0.9099999999999999,0.37330284372954764
100% Corpus,14,asymmetric,symmetric,0.36715996138183243
